Reading training examples... 3695 examples, 1135424 tokens, 48 features, 48 classes... done
Iter 11847: *(NumConst=543, SV=484, CEps=0.7086, QPEps=0.2668)
Iter 11848: *(NumConst=543, SV=484, CEps=0.6204, QPEps=0.2503)
Iter 11849: *(NumConst=544, SV=482, CEps=0.6029, QPEps=0.2509)
Iter 11850: *(NumConst=542, SV=483, CEps=0.6960, QPEps=0.2622)
Iter 11851: *(NumConst=541, SV=483, CEps=0.5414, QPEps=0.2656)
Iter 11852: *(NumConst=540, SV=485, CEps=0.6280, QPEps=0.2658)
Iter 11853: *(NumConst=540, SV=482, CEps=0.6218, QPEps=0.2506)
Iter 11854: *(NumConst=540, SV=483, CEps=0.6126, QPEps=0.2550)
Iter 11855: *(NumConst=540, SV=484, CEps=0.5535, QPEps=0.2526)
Iter 11856: *(NumConst=540, SV=485, CEps=0.5811, QPEps=0.2671)
Iter 11857: *(NumConst=540, SV=485, CEps=0.5187, QPEps=0.2478)
Iter 11858: *(NumConst=539, SV=483, CEps=0.5026, QPEps=0.2389)
Iter 11859: *(NumConst=539, SV=484, CEps=0.5683, QPEps=0.2465)
Iter 11860: .........*(NumConst=540, SV=485, CEps=1.5234, QPEps=0.4238)
Iter 11861: *(NumConst=541, SV=486, CEps=0.8569, QPEps=0.3893)
Iter 11862: *(NumConst=542, SV=485, CEps=0.7361, QPEps=0.3655)
Iter 11863: *(NumConst=543, SV=486, CEps=0.6914, QPEps=0.3309)
Iter 11864: *(NumConst=543, SV=487, CEps=0.6635, QPEps=0.3277)
Iter 11865: *(NumConst=544, SV=488, CEps=0.8316, QPEps=0.3243)
Iter 11866: *(NumConst=544, SV=489, CEps=0.6155, QPEps=0.2746)
Iter 11867: *(NumConst=545, SV=489, CEps=0.7128, QPEps=0.2938)
Iter 11868: *(NumConst=546, SV=487, CEps=0.7138, QPEps=0.2744)
Iter 11869: *(NumConst=547, SV=488, CEps=0.6197, QPEps=0.2999)
Iter 11870: *(NumConst=547, SV=489, CEps=0.7344, QPEps=0.3045)
Iter 11871: *(NumConst=547, SV=489, CEps=0.6161, QPEps=0.3075)
Iter 11872: *(NumConst=548, SV=489, CEps=0.6351, QPEps=0.2991)
Iter 11873: *(NumConst=548, SV=490, CEps=0.6042, QPEps=0.2587)
Iter 11874: *(NumConst=546, SV=491, CEps=0.5944, QPEps=0.2712)
Iter 11875: *(NumConst=547, SV=490, CEps=0.6769, QPEps=0.2945)
Iter 11876: *(NumConst=547, SV=491, CEps=0.6445, QPEps=0.2859)
Iter 11877: *(NumConst=546, SV=492, CEps=0.5828, QPEps=0.2890)
Iter 11878: *(NumConst=545, SV=493, CEps=0.6315, QPEps=0.2852)
Iter 11879: *(NumConst=546, SV=493, CEps=0.6167, QPEps=0.2834)
Iter 11880: *(NumConst=547, SV=494, CEps=0.5430, QPEps=0.2415)
Iter 11881: *(NumConst=547, SV=494, CEps=0.5007, QPEps=0.2475)
Iter 11882: *(NumConst=543, SV=494, CEps=0.6400, QPEps=0.2476)
Iter 11883: *(NumConst=544, SV=495, CEps=0.6011, QPEps=0.2243)
Iter 11884: *(NumConst=543, SV=496, CEps=0.5876, QPEps=0.2456)
Iter 11885: *(NumConst=544, SV=497, CEps=0.6746, QPEps=0.2455)
Iter 11886: *(NumConst=543, SV=497, CEps=0.6283, QPEps=0.2475)
Iter 11887: *(NumConst=542, SV=496, CEps=0.5051, QPEps=0.2301)
Iter 11888: *(NumConst=539, SV=497, CEps=0.6055, QPEps=0.2339)
Iter 11889: .........*(NumConst=540, SV=498, CEps=1.3046, QPEps=0.4662)
Iter 11890: *(NumConst=541, SV=498, CEps=0.8838, QPEps=0.4189)
Iter 11891: *(NumConst=540, SV=499, CEps=0.8669, QPEps=0.4083)
Iter 11892: *(NumConst=540, SV=500, CEps=0.8493, QPEps=0.4113)
Iter 11893: *(NumConst=536, SV=501, CEps=0.6993, QPEps=0.3469)
Iter 11894: *(NumConst=537, SV=502, CEps=0.7259, QPEps=0.3061)
Iter 11895: *(NumConst=535, SV=504, CEps=0.5935, QPEps=0.2825)
Iter 11896: *(NumConst=536, SV=504, CEps=0.7526, QPEps=0.2833)
Iter 11897: *(NumConst=536, SV=504, CEps=0.7131, QPEps=0.2710)
Iter 11898: *(NumConst=534, SV=503, CEps=0.6689, QPEps=0.2931)
Iter 11899: *(NumConst=535, SV=502, CEps=0.6500, QPEps=0.2964)
Iter 11900: *(NumConst=536, SV=502, CEps=0.6672, QPEps=0.2891)
Iter 11901: *(NumConst=537, SV=502, CEps=0.7478, QPEps=0.2637)
Iter 11902: *(NumConst=535, SV=502, CEps=0.6239, QPEps=0.2720)
Iter 11903: *(NumConst=536, SV=503, CEps=0.6814, QPEps=0.2748)
Iter 11904: *(NumConst=537, SV=503, CEps=0.7446, QPEps=0.2899)
Iter 11905: *(NumConst=538, SV=504, CEps=0.6712, QPEps=0.2510)
Iter 11906: *(NumConst=538, SV=503, CEps=0.6637, QPEps=0.2865)
Iter 11907: *(NumConst=536, SV=504, CEps=0.5879, QPEps=0.2587)
Iter 11908: *(NumConst=536, SV=502, CEps=0.6089, QPEps=0.2453)
Iter 11909: *(NumConst=537, SV=503, CEps=0.6060, QPEps=0.2723)
Iter 11910: *(NumConst=538, SV=503, CEps=0.6360, QPEps=0.2788)
Iter 11911: *(NumConst=537, SV=503, CEps=0.6520, QPEps=0.2879)
Iter 11912: *(NumConst=538, SV=503, CEps=0.5133, QPEps=0.2549)
Iter 11913: *(NumConst=539, SV=503, CEps=0.6495, QPEps=0.2489)
Iter 11914: *(NumConst=540, SV=502, CEps=0.6060, QPEps=0.2483)
Iter 11915: *(NumConst=540, SV=501, CEps=0.5495, QPEps=0.2555)
Iter 11916: *(NumConst=540, SV=503, CEps=0.6474, QPEps=0.2563)
Iter 11917: *(NumConst=538, SV=504, CEps=0.6397, QPEps=0.2515)
Iter 11918: *(NumConst=539, SV=503, CEps=0.5569, QPEps=0.2312)
Iter 11919: *(NumConst=540, SV=502, CEps=0.5638, QPEps=0.2334)
Iter 11920: *(NumConst=540, SV=503, CEps=0.5939, QPEps=0.2470)
Iter 11921: *(NumConst=540, SV=504, CEps=0.5363, QPEps=0.2555)
Iter 11922: *(NumConst=541, SV=501, CEps=0.5204, QPEps=0.2417)
Iter 11923: *(NumConst=542, SV=502, CEps=0.6088, QPEps=0.2558)
Iter 11924: *(NumConst=541, SV=500, CEps=0.5205, QPEps=0.2566)
Iter 11925: *(NumConst=542, SV=502, CEps=0.5419, QPEps=0.2522)
Iter 11926: *(NumConst=543, SV=501, CEps=0.5607, QPEps=0.2400)
Iter 11927: *(NumConst=544, SV=502, CEps=0.5544, QPEps=0.2424)
Iter 11928: *(NumConst=544, SV=503, CEps=0.5121, QPEps=0.2516)
Iter 11929: *(NumConst=545, SV=503, CEps=0.5832, QPEps=0.2481)
Iter 11930: *(NumConst=544, SV=502, CEps=0.6092, QPEps=0.2386)
Iter 11931: .........*(NumConst=544, SV=503, CEps=1.2738, QPEps=0.3682)
Iter 11932: *(NumConst=545, SV=504, CEps=0.7170, QPEps=0.3311)
Iter 11933: *(NumConst=546, SV=504, CEps=0.6962, QPEps=0.3182)
Iter 11934: *(NumConst=547, SV=505, CEps=0.6553, QPEps=0.3094)
Iter 11935: *(NumConst=547, SV=506, CEps=0.7622, QPEps=0.3083)
Iter 11936: *(NumConst=546, SV=507, CEps=0.6752, QPEps=0.2788)
Iter 11937: *(NumConst=547, SV=507, CEps=0.6259, QPEps=0.3084)
Iter 11938: *(NumConst=548, SV=508, CEps=0.6542, QPEps=0.3095)
Iter 11939: *(NumConst=548, SV=509, CEps=0.6996, QPEps=0.3010)
Iter 11940: *(NumConst=549, SV=507, CEps=0.5855, QPEps=0.2876)
Iter 11941: *(NumConst=550, SV=506, CEps=0.6411, QPEps=0.2855)
Iter 11942: *(NumConst=551, SV=506, CEps=0.6453, QPEps=0.2364)
Iter 11943: *(NumConst=552, SV=504, CEps=0.5171, QPEps=0.2446)
Iter 11944: *(NumConst=553, SV=504, CEps=0.6841, QPEps=0.2398)
Iter 11945: *(NumConst=553, SV=501, CEps=0.5915, QPEps=0.2465)
Iter 11946: *(NumConst=554, SV=502, CEps=0.5353, QPEps=0.2457)
Iter 11947: *(NumConst=553, SV=502, CEps=0.6581, QPEps=0.2511)
Iter 11948: *(NumConst=551, SV=501, CEps=0.5410, QPEps=0.2418)
Iter 11949: *(NumConst=552, SV=502, CEps=0.5173, QPEps=0.2486)
Iter 11950: *(NumConst=552, SV=503, CEps=0.5628, QPEps=0.2526)
Iter 11951: *(NumConst=552, SV=504, CEps=0.5032, QPEps=0.2330)
Iter 11952: *(NumConst=553, SV=502, CEps=0.5969, QPEps=0.2381)
Iter 11953: *(NumConst=554, SV=502, CEps=0.5108, QPEps=0.2452)
Iter 11954: *(NumConst=555, SV=502, CEps=0.5440, QPEps=0.2343)
Iter 11955: *(NumConst=554, SV=503, CEps=0.5728, QPEps=0.2194)
Iter 11956: .........*(NumConst=555, SV=504, CEps=1.2223, QPEps=0.4190)
Iter 11957: *(NumConst=553, SV=505, CEps=0.6970, QPEps=0.3292)
Iter 11958: *(NumConst=554, SV=506, CEps=0.7162, QPEps=0.3321)
Iter 11959: *(NumConst=554, SV=506, CEps=0.6280, QPEps=0.2978)
Iter 11960: *(NumConst=554, SV=506, CEps=0.5861, QPEps=0.2897)
Iter 11961: *(NumConst=554, SV=507, CEps=0.6496, QPEps=0.2852)
Iter 11962: *(NumConst=554, SV=508, CEps=0.5306, QPEps=0.2462)
Iter 11963: *(NumConst=554, SV=509, CEps=0.5485, QPEps=0.2620)
Iter 11964: *(NumConst=553, SV=508, CEps=0.5376, QPEps=0.2634)
Iter 11965: *(NumConst=554, SV=508, CEps=0.6596, QPEps=0.2642)
Iter 11966: *(NumConst=555, SV=508, CEps=0.5650, QPEps=0.2649)
Iter 11967: *(NumConst=554, SV=510, CEps=0.5600, QPEps=0.2645)
Iter 11968: *(NumConst=554, SV=509, CEps=0.5233, QPEps=0.2568)
Iter 11969: *(NumConst=555, SV=509, CEps=0.5989, QPEps=0.2507)
Iter 11970: *(NumConst=556, SV=509, CEps=0.6124, QPEps=0.2489)
Iter 11971: *(NumConst=554, SV=508, CEps=0.5771, QPEps=0.2494)
Iter 11972: *(NumConst=554, SV=507, CEps=0.5666, QPEps=0.2421)
Iter 11973: *(NumConst=553, SV=507, CEps=0.5223, QPEps=0.2471)
Iter 11974: *(NumConst=554, SV=507, CEps=0.6015, QPEps=0.2512)
Iter 11975: *(NumConst=554, SV=508, CEps=0.5491, QPEps=0.2507)
Iter 11976: .........*(NumConst=555, SV=509, CEps=1.0496, QPEps=0.4904)
Iter 11977: *(NumConst=556, SV=511, CEps=0.8114, QPEps=0.3510)
Iter 11978: *(NumConst=555, SV=511, CEps=0.5375, QPEps=0.2583)
Iter 11979: *(NumConst=554, SV=510, CEps=0.5731, QPEps=0.2683)
Iter 11980: *(NumConst=555, SV=511, CEps=0.6874, QPEps=0.2657)
Iter 11981: *(NumConst=555, SV=510, CEps=0.5862, QPEps=0.2586)
Iter 11982: *(NumConst=555, SV=509, CEps=0.5900, QPEps=0.2402)
Iter 11983: *(NumConst=556, SV=509, CEps=0.5581, QPEps=0.2599)
Iter 11984: *(NumConst=557, SV=510, CEps=0.5801, QPEps=0.2627)
Iter 11985: *(NumConst=558, SV=510, CEps=0.5720, QPEps=0.2668)
Iter 11986: *(NumConst=558, SV=510, CEps=0.5176, QPEps=0.2551)
Iter 11987: *(NumConst=559, SV=511, CEps=0.5148, QPEps=0.2482)
Iter 11988: *(NumConst=560, SV=512, CEps=0.5437, QPEps=0.2567)
Iter 11989: *(NumConst=558, SV=510, CEps=0.5865, QPEps=0.2560)
Iter 11990: *(NumConst=557, SV=510, CEps=0.6276, QPEps=0.2300)
Iter 11991: *(NumConst=556, SV=509, CEps=0.5537, QPEps=0.2449)
Iter 11992: *(NumConst=555, SV=508, CEps=0.5435, QPEps=0.2343)
Iter 11993: *(NumConst=555, SV=510, CEps=0.6099, QPEps=0.2424)
Iter 11994: *(NumConst=553, SV=509, CEps=0.5867, QPEps=0.2217)
Iter 11995: .........*(NumConst=554, SV=510, CEps=1.0778, QPEps=0.4064)
Iter 11996: *(NumConst=555, SV=511, CEps=0.8045, QPEps=0.3412)
Iter 11997: *(NumConst=554, SV=513, CEps=0.6394, QPEps=0.2808)
Iter 11998: *(NumConst=555, SV=512, CEps=0.5914, QPEps=0.2949)
Iter 11999: *(NumConst=556, SV=513, CEps=0.6596, QPEps=0.2735)
Iter 12000: *(NumConst=556, SV=513, CEps=0.6729, QPEps=0.2717)
Iter 12001: *(NumConst=554, SV=513, CEps=0.6342, QPEps=0.2942)
Iter 12002: *(NumConst=554, SV=513, CEps=0.6562, QPEps=0.2791)
